# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x080000C0	0x00000000	arm	start_vector
0x080000FC	0x00000000	arm	intr_main
0x080001D8	0x0800034D	thumb	title_80001D8
0x08000350	0x080006FB	thumb	title_8000350
0x080006FC	0x080008A3	thumb	title_handleNightStars
0x080008A4	0x08000993	thumb	title_handleNightKoopaShip
0x08000994	0x08000A33	thumb	vblank
0x08000A34	0x08000E6B	thumb	title_loadGraphics
0x08000E6C	0x080018F7	thumb	title_main
0x080018F8	0x0800190B	thumb	vcount70
0x0800190C	0x08001A57	thumb	gbm_main
0x08001A58	0x08001A83	thumb	gbm_vblank
0x08001ADC	0x00000000	thumb	sub_8001ADC
0x08001B30	0x00000000	thumb	sub_8001B30
0x08001B4C	0x00000000	thumb	sub_8001B4C
0x08001B60	0x00000000	thumb	sub_8001B60
0x08001C0C	0x00000000	thumb	sub_8001C0C
0x08001CA8	0x00000000	thumb	sub_8001CA8
0x08001D74	0x00000000	thumb	sub_8001D74
0x08001DDC	0x00000000	thumb	sub_8001DDC
0x08001FC0	0x00000000	thumb	sub_8001FC0
0x080021CC	0x00000000	thumb	spm_main
0x08002B68	0x00000000	thumb	sub_8002B68
0x08002BD4	0x00000000	thumb	sub_8002BD4
0x08002BE8	0x00000000	thumb	sub_8002BE8
0x08002BFC	0x00000000	thumb	sub_8002BFC
0x08002C10	0x00000000	thumb	sub_8002C10
0x08002C24	0x00000000	thumb	sub_8002C24
0x08002C30	0x00000000	thumb	sub_8002C30
0x08002C3C	0x00000000	thumb	sub_8002C3C
0x08002C54	0x00000000	thumb	sub_8002C54
0x08002C74	0x00000000	thumb	sub_8002C74
0x08002C88	0x00000000	thumb	sub_8002C88
0x08002CE0	0x00000000	thumb	sub_8002CE0
0x08002CF0	0x00000000	thumb	sub_8002CF0
0x08002D48	0x00000000	thumb	sub_8002D48
0x08002DA0	0x00000000	thumb	sub_8002DA0
0x08002DB0	0x00000000	thumb	sub_8002DB0
0x08002DF8	0x00000000	thumb	sub_8002DF8
0x08002E08	0x00000000	thumb	sub_8002E08
0x08002E50	0x00000000	thumb	sub_8002E50
0x08002EA4	0x00000000	thumb	sub_8002EA4
0x0800317C	0x00000000	thumb	sub_800317C
0x080036E4	0x00000000	thumb	sub_80036E4
0x080038B8	0x00000000	thumb	sub_80038B8
0x08003930	0x00000000	thumb	sub_8003930
0x08003948	0x00000000	thumb	sub_8003948
0x08003BB8	0x00000000	thumb	sub_8003BB8
0x08003FD0	0x00000000	thumb	sub_8003FD0
0x080040A0	0x00000000	thumb	sub_80040A0
0x08004180	0x00000000	thumb	sub_8004180
0x080042C4	0x00000000	thumb	sub_80042C4
0x0800441C	0x00000000	thumb	sub_800441C
0x08004584	0x00000000	thumb	sub_8004584
0x08004860	0x00000000	thumb	sub_8004860
0x0800490E	0x00000000	thumb	sub_800490E
0x0800541E	0x00000000	thumb	sub_800541E
0x08005590	0x00000000	thumb	sub_8005590
0x080058B0	0x00000000	thumb	sub_80058B0
0x08005CB0	0x00000000	thumb	sub_8005CB0
0x08005DAC	0x00000000	thumb	sub_8005DAC
0x08005E04	0x00000000	thumb	sub_8005E04
0x08005EF8	0x00000000	thumb	sub_8005EF8
0x080060AC	0x00000000	thumb	sub_80060AC
0x08006518	0x00000000	thumb	sub_8006518
0x080065CC	0x00000000	thumb	sub_80065CC
0x08006784	0x00000000	thumb	sub_8006784
0x08006850	0x00000000	thumb	sub_8006850
0x08006A28	0x00000000	thumb	sub_8006A28
0x08006C5C	0x00000000	thumb	sub_8006C5C
0x08006D60	0x00000000	thumb	sub_8006D60
0x08006E08	0x00000000	thumb	sub_8006E08
0x08007138	0x00000000	thumb	sub_8007138
0x080072B8	0x00000000	thumb	sub_80072B8
0x0800818E	0x00000000	thumb	sub_800818E
0x0800833A	0x00000000	thumb	sub_800833A
0x0800847C	0x00000000	thumb	sub_800847C
0x08008600	0x00000000	thumb	sub_8008600
