# addr	region	size	name  (STT_OBJECT, plus absolute symbols landing in a GBA region)
0x02000000	ewram	0x0	EWRAM_START
0x02004400	ewram	0x0	title_sDriversBgMapBuf
0x02010400	ewram	0x0	byte_2010400
0x02025400	ewram	0x0	gTempBuffer
0x0203EBE0	ewram	0x0	unk_203EBE0
0x0203EC20	ewram	0x0	dword_203EC20
0x03000000	iwram	0x0	IWRAM_START
0x03000004	iwram	0x4	sState
0x03000188	iwram	0x4	sState
0x0300018C	iwram	0x4	word_300018C
0x030001B0	iwram	0x8	sKeyRepeatCounters
0x030001B8	iwram	0x4	sRandom
0x030001BC	iwram	0x4	sFrameCounter
0x030002D8	iwram	0x400	sBuffer
0x030006D8	iwram	0x4	sDirtyFlag
0x030006E0	iwram	0x1000	sBuffer
0x030016E0	iwram	0x2	sBufferDirtyMask
0x030016E8	iwram	0x8	sBufferDestinations
0x030016F0	iwram	0x4	sBufferOffset
0x030016F4	iwram	0x4	sNextAffineId
0x030016F8	iwram	0x400	sBuffer
0x03001AF8	iwram	0x680	sCellListEntries
0x03002178	iwram	0x4	sCellListHead
0x0300217C	iwram	0x4	sCellListTail
0x03002180	iwram	0x4	sCellListEntryCount
0x03002184	iwram	0x4	sCopyDisabled
0x03002188	iwram	0x4	oam_3002188
0x0300218C	iwram	0x4	oam_300218C
0x03002190	iwram	0x18	sVBlankDmaQueue
0x030023E0	iwram	0x0	gFlashMaxTime
0x030023E4	iwram	0x0	PollFlashStatus
0x030023E8	iwram	0x0	sTimerNum
0x030023EA	iwram	0x0	sTimerCount
0x030023EC	iwram	0x0	gFlashTimeoutFlag
0x030023F0	iwram	0x0	sTimerReg
0x030023F4	iwram	0x0	sSavedIme
0x030023F8	iwram	0x4	sMask
0x03002400	iwram	0x200	sIntrMain
0x03002600	iwram	0x380	SoundMainRAM_Buffer
0x03002C80	iwram	0x0	sio2_sMPlayerId
0x03002CA0	iwram	0x0	col_sCpoiStartIndicesPassive
0x03002D20	iwram	0x100	sHeapSpace
0x030048A0	iwram	0x0	dmaq_sHeap
0x03004EA0	iwram	0x0	gKeyTriggerBuf
0x03004EB0	iwram	0x0	col_sCpoiStartIndicesActive
0x03004F30	iwram	0x0	gKeyBuf
0x03004F48	iwram	0x0	gKeyRepeatTriggerBuf
0x03004F58	iwram	0x0	sio2_sKeyBuf
0x03004F70	iwram	0x10	gTransitionState
0x03004F80	iwram	0x0	gIrqTable
0x03004FC0	iwram	0x18	gVCountState
0x03005C50	iwram	0x0	dword_3005C50
0x03005CA0	iwram	0x0	gSoundInfo
0x03006720	iwram	0x0	gMPlayJumpTable
0x030067B0	iwram	0x0	gCgbChans
0x030069F0	iwram	0x0	gMPlayMemAccArea
0x03006A80	iwram	0x0	WaitForFlashWrite
0x03006A84	iwram	0x0	ProgramFlashSector
0x03006A88	iwram	0x0	gFlash
0x03006A90	iwram	0x0	EraseFlashChip
0x03006A94	iwram	0x0	EraseFlashSector
0x03007FF0	iwram	0x0	SOUND_INFO_PTR
0x03007FF8	iwram	0x0	INTR_CHECK
0x03007FFC	iwram	0x0	INTR_VECTOR
0x04000000	io	0x0	REG_BASE
0x04000004	io	0x0	REG_DISPSTAT
0x04000006	io	0x0	REG_VCOUNT
0x04000008	io	0x0	REG_BG0CNT
0x0400000A	io	0x0	REG_BG1CNT
0x0400000C	io	0x0	REG_BG2CNT
0x0400000E	io	0x0	REG_BG3CNT
0x04000010	io	0x0	REG_BG0HOFS
0x04000012	io	0x0	REG_BG0VOFS
0x04000014	io	0x0	REG_BG1HOFS
0x04000016	io	0x0	REG_BG1VOFS
0x04000018	io	0x0	REG_BG2HOFS
0x0400001A	io	0x0	REG_BG2VOFS
0x0400001C	io	0x0	REG_BG3HOFS
0x0400001E	io	0x0	REG_BG3VOFS
0x04000020	io	0x0	REG_BG2PA
0x04000022	io	0x0	REG_BG2PB
0x04000024	io	0x0	REG_BG2PC
0x04000026	io	0x0	REG_BG2PD
0x04000028	io	0x0	REG_BG2X_L
0x0400002A	io	0x0	REG_BG2X_H
0x0400002C	io	0x0	REG_BG2Y_L
0x0400002E	io	0x0	REG_BG2Y_H
0x04000030	io	0x0	REG_BG3PA
0x04000032	io	0x0	REG_BG3PB
0x04000034	io	0x0	REG_BG3PC
0x04000036	io	0x0	REG_BG3PD
0x04000038	io	0x0	REG_BG3X_L
0x0400003A	io	0x0	REG_BG3X_H
0x0400003C	io	0x0	REG_BG3Y_L
0x0400003E	io	0x0	REG_BG3Y_H
0x04000040	io	0x0	REG_WIN0H
0x04000042	io	0x0	REG_WIN1H
