# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x080000C0	arm	start_vector
0x080000FC	arm	intr_main
0x080001D8	thumb	title_80001D8
0x08000350	thumb	title_8000350
0x080006FC	thumb	title_handleNightStars
0x080008A4	thumb	title_handleNightKoopaShip
0x08000994	thumb	vblank
0x08000A34	thumb	title_loadGraphics
0x08000E6C	thumb	title_main
0x080018F8	thumb	vcount70
0x0800190C	thumb	gbm_main
0x08001A58	thumb	gbm_vblank
0x08001ADC	thumb	sub_8001ADC
0x08001B30	thumb	sub_8001B30
0x08001B4C	thumb	sub_8001B4C
0x08001B60	thumb	sub_8001B60
0x08001C0C	thumb	sub_8001C0C
0x08001CA8	thumb	sub_8001CA8
0x08001D74	thumb	sub_8001D74
0x08001DDC	thumb	sub_8001DDC
0x08001FC0	thumb	sub_8001FC0
0x080021CC	thumb	spm_main
0x08002B68	thumb	sub_8002B68
0x08002BD4	thumb	sub_8002BD4
0x08002BE8	thumb	sub_8002BE8
0x08002BFC	thumb	sub_8002BFC
0x08002C10	thumb	sub_8002C10
0x08002C24	thumb	sub_8002C24
0x08002C30	thumb	sub_8002C30
0x08002C3C	thumb	sub_8002C3C
0x08002C54	thumb	sub_8002C54
0x08002C74	thumb	sub_8002C74
0x08002C88	thumb	sub_8002C88
0x08002CE0	thumb	sub_8002CE0
0x08002CF0	thumb	sub_8002CF0
0x08002D48	thumb	sub_8002D48
0x08002DA0	thumb	sub_8002DA0
0x08002DB0	thumb	sub_8002DB0
0x08002DF8	thumb	sub_8002DF8
0x08002E08	thumb	sub_8002E08
0x08002E50	thumb	sub_8002E50
0x08002EA4	thumb	sub_8002EA4
0x0800317C	thumb	sub_800317C
0x080036E4	thumb	sub_80036E4
0x080038B8	thumb	sub_80038B8
0x08003930	thumb	sub_8003930
0x08003948	thumb	sub_8003948
0x08003BB8	thumb	sub_8003BB8
0x08003FD0	thumb	sub_8003FD0
0x080040A0	thumb	sub_80040A0
0x08004180	thumb	sub_8004180
0x080042C4	thumb	sub_80042C4
0x0800441C	thumb	sub_800441C
0x08004584	thumb	sub_8004584
0x08004860	thumb	sub_8004860
0x0800490E	thumb	sub_800490E
0x0800541E	thumb	sub_800541E
0x08005590	thumb	sub_8005590
0x080058B0	thumb	sub_80058B0
0x08005CB0	thumb	sub_8005CB0
0x08005DAC	thumb	sub_8005DAC
0x08005E04	thumb	sub_8005E04
0x08005EF8	thumb	sub_8005EF8
0x080060AC	thumb	sub_80060AC
0x08006518	thumb	sub_8006518
0x080065CC	thumb	sub_80065CC
0x08006784	thumb	sub_8006784
0x08006850	thumb	sub_8006850
0x08006A28	thumb	sub_8006A28
0x08006C5C	thumb	sub_8006C5C
0x08006D60	thumb	sub_8006D60
0x08006E08	thumb	sub_8006E08
0x08007138	thumb	sub_8007138
0x080072B8	thumb	sub_80072B8
0x0800818E	thumb	sub_800818E
0x0800833A	thumb	sub_800833A
0x0800847C	thumb	sub_800847C
0x08008600	thumb	sub_8008600
0x0800860C	thumb	sub_800860C
0x0800873C	thumb	sub_800873C
0x08008850	thumb	sub_8008850
0x08008938	thumb	sub_8008938
0x08008B58	thumb	sub_8008B58
0x08008D14	thumb	sub_8008D14
0x08008E0C	thumb	sub_8008E0C
0x08008FA4	thumb	sub_8008FA4
0x08009124	thumb	sub_8009124
0x08009590	thumb	sub_8009590
0x08009754	thumb	sub_8009754
0x08009998	thumb	sub_8009998
0x08009C84	thumb	sub_8009C84
0x08009FAC	thumb	sub_8009FAC
0x0800A1A4	thumb	sub_800A1A4
0x0800A75C	thumb	sub_800A75C
